wiI7pd,manual_label,dealership_name,review_id,predicted_sentiment,predicted_label
"Probably the most delightful and professional Honda Service Center in Lahore, perhaps in Pakistan. The managers, staff, and technicians are agile, responsive and above all, they are a great host. The workshop is bigger and is equipped with",,HONDA RingRoad,72,0.6398704,1
"No face masks but good service.

Update 30 June: they are really busy now. But poor management. I waited 45 mins ÃÂ¢?ÃÂ¦",,HONDA RingRoad,73,0.36846173,0
Good services,,HONDA RingRoad,74,0.95589054,1
Best Services,,HONDA RingRoad,75,0.9630891,1
Highly recommended,,HONDA RingRoad,76,0.77821136,1
Honda achi hay per me toyota lover hun,,HONDA RingRoad,77,0.2873227,0
Supervisors response is good enough but mechanics are arrogant and less knowledge,,HONDA RingRoad,78,0.564771,1
Good workshop to change the vehicle oil.,,HONDA RingRoad,79,0.9465096,1
"Good location
Nice ambiance
Courtesy good ÃÂ¢?ÃÂ¦",,HONDA RingRoad,80,0.9589856,1
Best place for deal...,,HONDA RingRoad,82,0.9617476,1
Wonderful experience...,,HONDA RingRoad,83,0.9798471,1
Best place for car purchasing and car care in Lahore,,HONDA RingRoad,84,0.956793,1
Over al good.,,HONDA RingRoad,85,0.95057696,1
Looters and thugs of highest degree. Worst attitude of sales department. Cant deliver vehs on time. 8 mnths 14 din ho gye hn booking ko abhi tk gari nahi mili. Please stay away everyone,0.0,HONDA RingRoad,86,0.1540365,0
clean environment and large service area,,HONDA RingRoad,88,0.8710313,1
"The workmanship and support team is good. Reaching Honda Ring Road is a bit tricky as there is no frontside road access to this building from the Ring Road, so you have to come via a side road behind the building.",,HONDA RingRoad,89,0.44132993,0
Good workshop and dealership.....friendly environments,,HONDA RingRoad,90,0.93217695,1
Staff is good and very professional. Never expected such good experience from any honda service center.,,HONDA RingRoad,91,0.6657746,1
"Would highly recommend this place because of their professionalism and their state of the art equipment.. even if you live far, take the ring road and take your car here.. I was with my family and their waiting area was family friendly they also took less time to service my car please keep up the good work..",,HONDA RingRoad,92,0.41182315,0
Services are good,,HONDA RingRoad,93,0.9522494,1
Thieving staff is the ultimate wo,,HONDA RingRoad,94,0.71280485,1
"I believe they're the only Honda Franchise in Pakistan who literally value their clients and prospects with best customer services. I went their couple of times in service department and never felt they're all trying to rip me off. Instead,  they suggest what's best for vehicle.",,HONDA RingRoad,95,0.63425213,1
"They have excellent attitude towards ,their employees and customer",,HONDA RingRoad,96,0.97421956,1
"Amazing customer service!
We wanted to see colours in real time and asked them to show us their inventory so that we can decide our car colour. We didn't even book it from them; but they ÃÂ¢?ÃÂ¦",,HONDA RingRoad,97,0.5522363,1
"Very good atmosphere, the staff was very welcomingÉ",,HONDA RingRoad,98,0.9300282,1
Good Experience Thank You,,HONDA RingRoad,99,0.95448303,1
Good services great tools however prices are quite high and they vary a lot from different dealerships so better to do a research before going there.,,HONDA RingRoad,100,0.6945423,1
Al from Cooperative Pe,,HONDA RingRoad,102,0.30632284,0
"Professional Services, with experienced technicians",,HONDA RingRoad,103,0.8966586,1
"Big showroom with a complete range of honda vehicles. But, access to the showroom needs to be improved.",,HONDA RingRoad,104,0.31455547,0
Very Bad Experience!! Staff is not cooperative. Their employees and sales manager aren't cooperating with us. I'll never recommend honda to anyone. They just waisted my time.,0.0,HONDA RingRoad,105,0.14341272,0
Very cooperative friendly sales staff Sana. All Staff very welcoming.,,HONDA RingRoad,106,0.6991961,1
"Service is decent.
Prices exorbitant!",,HONDA RingRoad,107,0.8000497,1
Honda best dealer ship in lahore,,HONDA RingRoad,108,0.9601885,1
Nice place for car shopping,,HONDA RingRoad,109,0.9551273,1
Good customer service,,HONDA RingRoad,110,0.9544023,1
Excellent services,,HONDA RingRoad,111,0.9802685,1
"Good effort
Location is good so we don't have to go to inner city.",,HONDA RingRoad,112,0.8208674,1
Bought my BRV from here. Came for the first oil change. It was quick and they washed the car as a complimentary service. Good experience,,HONDA RingRoad,113,0.755173,1
"Sorry to say, you are lier and cheater as per recent experience.
I gave you 2 stars but keeping in view your dealing style, ignorance, badmashi, converting it into 1 star. If it will be in my control, i must convert it into - ÃÂ¢?ÃÂ¦",0.0,HONDA RingRoad,114,0.24850383,0
Nice and big spacious setup. Better than other dealerships. New machinery and tools,,HONDA RingRoad,115,0.6969546,1
"I must say, they have best customer services in terms of after sales services.",,HONDA RingRoad,117,0.9401439,1
Good place in peaceful area.,,HONDA RingRoad,118,0.91975266,1
Great place & great service. Best dealership for car purchase & maintenence. Courteous staff & great ambience.,,HONDA RingRoad,119,0.9562166,1
Nice services.,,HONDA RingRoad,120,0.9578704,1
Very Cooperative  and professional  Staff and Owner,,HONDA RingRoad,121,0.54771066,1
"Thank you to the amazing team over at Honda Ring Road. I would like to make a special mention of Mr Raja who from the very beginning eased my worries and concerns and re-assured me, that the work required would be carried out by his",,HONDA RingRoad,122,0.6024235,1
"It's a compliment message

Had a visit today for a service for my Honda Civic. Met with Mr. Saqib Jameel, ÃÂ¢?ÃÂ¦",1.0,HONDA RingRoad,123,0.27822953,0
0 % performence,0.0,HONDA RingRoad,124,0.32056886,0
"Fantastic experience at this dealership. I loved my salesperson Usama Wasti, very personable, not pushy. repaired Honda Civic 2013 and itÃÂ¢??s in amazing shape. Very well cared for and conditioned. They even compound polished the scrapes",,HONDA RingRoad,125,0.69771516,1
Excellent services rendered by Honda Ring Road Motors.,,HONDA RingRoad,128,0.97559863,1
"Good service, excellent staff behavior!",,HONDA RingRoad,129,0.9701844,1
Very good service..,,HONDA RingRoad,130,0.9738459,1
"Its a newly opened Honda Dealership on Lahore Ring road, they are providing good services, their Sales staff is also very humble. Dealership is also providing after sales services.",,HONDA RingRoad,131,0.53885674,1
Poor customer service. Management should training the staff how to satisfy the customers.,0.0,HONDA RingRoad,132,0.20075242,0
Awesome service GOOD MAINTENANCE,,HONDA RingRoad,133,0.969064,1
Wonderful.  Services rendered by attending staff is excellent,,HONDA RingRoad,134,0.97041696,1
Very Good newly built service facility for Honda cars.,,HONDA RingRoad,135,0.93107325,1
Excellent place to buy and after sale service of Honda huge workshop,,HONDA RingRoad,136,0.951769,1
Great service,,HONDA RingRoad,137,0.9675773,1
"Best of all,",,HONDA RingRoad,138,0.9634953,1
Best Dealership,,HONDA RingRoad,139,0.96337575,1
Staff are good yet I hope they will sustain this service in future as well.,,HONDA RingRoad,140,0.70413196,1
"3SDealrrship of Honda, best place New Honda Cars Purcahse and After sales.",,HONDA RingRoad,141,0.9042765,1
I recently visited Honda Ring Road for scheduled maintenance. The building is cutting edge with every single service being accessible. Uniquely the wheel alignment and balancing section has the most recent laser technology with negligible,,HONDA RingRoad,143,0.43282756,0
5 star recommended,,HONDA RingRoad,144,0.31507474,0
"Recently I was visited Honda Ring Road, because i was facing RPM problems in my Honda city,  Its Very easy and open approach from ring road. There was i found respectful staff, I was attended by a guy named Shahbaz at the reception. He was ",,HONDA RingRoad,145,0.4461311,0
Good service overall.,,HONDA RingRoad,146,0.81346637,1
I came here for the first time to get my car repaired. I was awed by the customer service provided by Mr. Noman & Raja Saab and left assured that my car is in trusted hands! Definitely making this center my go to place for all service and repair work!,,HONDA RingRoad,148,0.37311447,0
I m sharing my personal bad experience as i bought brand new Honda Silver  BRV . Its chasis is misalligned. I bought this car on mortgage.  The Honda Ring Road Management is reluctant to file any warranty claim. Its been two weeks and they ,0.0,HONDA RingRoad,149,0.27473298,0
The best 3S HONDA cars dealership in town. Ther services are exceptionally well. The staff members are very friendly and supportive. Thier waiting area is very good and entertaining.,,HONDA RingRoad,150,0.89068484,1
"Very well managed and organized, good team, and customer service.",,HONDA RingRoad,151,0.8948978,1
Nice showroom and good staff,,HONDA RingRoad,152,0.96070004,1
Connecting Road is too small,,HONDA RingRoad,153,0.21184707,0
"They do the work very well, but the wrong thing is that they take out a lot of work, they start scaring the workers that your so-and-so thing is going to be damaged, so-and-so is going to happen, change it, change it, which is wrong,",,HONDA RingRoad,154,0.24209575,0
Professional staff,,HONDA RingRoad,155,0.43776137,0
"Simply awesome and very cooperative staff.
Great high tech place.
A must go if you are buying a Honda manufactured car this is the place to be...",,HONDA RingRoad,156,0.8484454,1
By far the best Honda dealership in Lahore.  Very easy and open approach from ring road. Courteous and respectful staff. I was attended by a guy named Shahbaz at the reception. He was very polite and helpful throughout the process. Being a,,HONDA RingRoad,157,0.7219716,1
Extremely happy for great services and dealing. Staff are really professional and helpful. This is my first visit and I am really inspired with quality of services and friendly environment. They really care your vehicle and give you peace of mind. My best wishes for their growing business.,,HONDA RingRoad,158,0.6753303,1
Best honda cars dealer in Lahore. Very supportive customers support.,,HONDA RingRoad,159,0.95897144,1
Best I ever found,,HONDA RingRoad,160,0.9579214,1
Best honda cars showroom in lahore. Find your dream car here.,,HONDA RingRoad,161,0.9587711,1
Excellent service,,HONDA RingRoad,162,0.98042727,1
Good workshop,,HONDA RingRoad,163,0.9568113,1
"Outstanding, everyone should visit it and try to achieve the ultimate services, especially body shop is unbelievably good while the mechanical side is the best one, may Allah bless all of us, Aameen",,HONDA RingRoad,165,0.76541305,1
"Well trained staff
Professional handling of car services
Honest advise about best options for your car ÃÂ¢?ÃÂ¦",,HONDA RingRoad,166,0.8946158,1
Nice environment,,HONDA RingRoad,168,0.9594492,1
Excellent customer service!,,HONDA RingRoad,169,0.9795008,1
Built few months ago. Good service,,HONDA RingRoad,170,0.73959154,1
Very Cooperative and technical workshop staff  with good environment,,HONDA RingRoad,171,0.7713739,1
Good work and very good response to passenger,,HONDA RingRoad,172,0.9614189,1
Good Maintenance team,,HONDA RingRoad,173,0.95620316,1
Great services!,,HONDA RingRoad,174,0.9673355,1
Real bad experience. Went for AC checkup. There was no issue with the AC. But after the check up it has stopped working. So what else can I say. Highly unrecommended.,0.0,HONDA RingRoad,175,0.21028754,0
Very nice and quick response of Honda Ring Road Pvt LTD . Urgent supply and booking of customer cars.Highly recommended,,HONDA RingRoad,176,0.8634976,1
I would say the best customer service. Infact every staff member was so courteous thta i couldn't believe that I'm in Lahore.,,HONDA RingRoad,177,0.87038076,1
Good dealar ship,,HONDA RingRoad,178,0.9532122,1
Muhammad Ahmad,,HONDA RingRoad,179,0.31498477,0
Good dealership,,HONDA RingRoad,180,0.9562354,1
Very good services,,HONDA RingRoad,181,0.9736509,1
A very Pleasant place to repair and buy your dreams Honda cars.,,HONDA RingRoad,182,0.9675094,1
"Entrance is from LDA City road, good service, staff is very cooperative and guide customers in a friendly and soft manners.",,HONDA RingRoad,183,0.76122886,1
"Met the owner today. He is sooo nice, and kind. Overall a great personality. The staff is very cooperative. Overall a great experience.",,HONDA RingRoad,184,0.8636505,1
"Newly opened dealer ship, but they are very slow in their processing right now",,HONDA RingRoad,185,0.38387933,0
Good service Ring road Honda Thank You so Much,,HONDA RingRoad,186,0.86816734,1
New but best,,HONDA RingRoad,187,0.90951794,1
"It was a nice experience to have visited HONDA RING ROAD LAHORE in connection with purchase of HONDA BRV-S, 2021. Vehicle provided was in immaculate condition and we are completely satisfied with the same",,HONDA RingRoad,188,0.7224181,1
Very good experience got my brv .,,HONDA RingRoad,189,0.97371465,1
"Got delivery of brand new Honda City 2021, i was excited for car but my approaching 1 year kid enjoyed indoor games and kids hut more then car.
So love that place and InshaAllah will visit them again for same purposes.",,HONDA RingRoad,190,0.52778965,1
No proper access from ring road.,,HONDA RingRoad,191,0.2953475,0
Good place but the owner of showroom didn't stand on the delivery date and gave us lame excuses...,,HONDA RingRoad,192,0.53673774,1
A thorough professional experience and very customer oriented... Fast turn around of your car.,,HONDA RingRoad,193,0.52954304,1
"I never trust any dealership because they just charge you high amount and never gives quality work, but this time my concept about Honda Dealership is totally change after visiting Honda Ring Road Lahore. I visit there for my car paint work ",,HONDA RingRoad,194,0.45797774,0
Very executive and quality services.,,HONDA RingRoad,195,0.65990424,1
First visit. Helpful n courteous staff. Sales office on first floor. Beautiful n spacious office. Please do not follow Google map it don't recognize road to This showroom. Follow the small sign board  from LDA City road. which leads to this,,HONDA RingRoad,196,0.4987895,0
A far off location but the staff and management is really welcoming.,,HONDA RingRoad,197,0.6641871,1
Really State of art,,HONDA RingRoad,198,0.58579785,1
"Great customer service, efficient, experienced work Force. Dealt by Mr .Shahbaz who i must say is doing an excellent job.
Been to all honda service points in Lahore, but this one is the best.
Highly recommended",,HONDA RingRoad,200,0.8683775,1
Very easy approach and good service quality.,,HONDA RingRoad,201,0.954085,1
Neat Environment,,HONDA RingRoad,202,0.32484746,0
Lovely place,,HONDA RingRoad,203,0.94046235,1
"A recently started Honda 3S Dealership, located on the Ring Road.
Still awaiting a formal opening, they have started their sales and service.
They have more bays than Honda Gateway and seperate floors for Mechanical and ÃÂ¢?ÃÂ¦",,HONDA RingRoad,204,0.59132576,1
Newly established but a bit dangerous road to reach,,HONDA RingRoad,205,0.2489427,0
Excellent and very meticulous dealings...,,HONDA RingRoad,206,0.94564,1
Highly recommended,,HONDA RingRoad,207,0.77821136,1
Good Services,,HONDA RingRoad,208,0.95589054,1
Opening coming soon,,HONDA RingRoad,209,0.31502464,0
