wiI7pd,dealership,Unnamed: 1,Unnamed: 2,predicted_sentiment,confidence
"Edited: 24.02.2022
Upgraded to 3 stars.

All things same as my previous review, just adding here that the staff in their body shop is very professional and supportive.

Previous Review:

Insanely expensive.
Estimation charges: 15,000/-.
Parking Charges: 1,500/- per day.
Rocket Clip: 200/- each which is 10/- to 20/- each in market.
When visited open market, I found that the prices of parts at Honda Township are at least 2-3 times higher as compared to same quality genuine parts in the market.

Services are also insanely expensive. Simple compound polish is almost 3 times higher.",HONDA Township,,,Negative,0.5085684637282673
Good Service,HONDA Township,,,Positive,0.5881235813232714
Nice service,HONDA Township,,,Negative,0.5113101318982131
No experience,HONDA Township,,,Negative,0.5109592678022723
Service is detiorating.....,HONDA Township,,,Negative,0.5113101318982131
Good quality work. Timely service. Friendly people.,HONDA Township,,,Positive,0.610285073989355
"Well! Its good place but when you want to buy any oil from there, they said that they can not give you as I have to take my car there and give them service charges. Feel monopoly for the products of Honda. 2 stars only for Sale service center as they are very nice and cooperative. Service center head adil Sir not available when I complain rest stuff help me except the person who deal with Honda Gear Oil.",HONDA Township,,,Positive,0.5469920143394862
Good,HONDA Township,,,,
Love it,HONDA Township,,,,
It Was Just  A Good Visit...,HONDA Township,,,Positive,0.5605095530746993
"Staff is very professional and helpful in any kind of maintenance and parts replacement, they assist very professionally and guide for right services. I always prefer honda township (Near to pindi stop peco road) for my vehicles maintenance and spare parts replacement
Highly recommended",HONDA Township,,,Positive,0.5895584692427674
If you do payments with card they will charge 2% extra while is really bad who uses cash specifically in covid.,HONDA Township,,,Negative,0.5791296396742487
"Ok to buy a car, neat environment",HONDA Township,,,Negative,0.5109592678022723
Excellent Honda showroom,HONDA Township,,,Positive,0.5605095530746993
They identified the wrong fault. Parts not available. Finally advised to take car elsewhere for repairs. Charged 2500 for doing nothing.,HONDA Township,,,Negative,0.5109592678022723
Good service and sales center,HONDA Township,,,Positive,0.5881235813232714
Costumer support was great and I found them well dressed while they were briefing about new Honda city 2021.keep up good work.,HONDA Township,,,Positive,0.5895584692427674
I received support and presentation by service manager for honda city 2021 model.,HONDA Township,,,Negative,0.5113101318982131
Very good dealing,HONDA Township,,,Positive,0.5605095530746993
It's very cooperating staff,HONDA Township,,,Negative,0.5109592678022723
There customer service is good for newbi. Also Honda City new model is best for city travellers.,HONDA Township,,,Positive,0.5881235813232714
Wonderful workshop,HONDA Township,,,Positive,0.5605095530746993
Luxury please,HONDA Township,,,Negative,0.5109592678022723
Good service and trained staff,HONDA Township,,,Positive,0.5881235813232714
Average,HONDA Township,,,,
To get there you have to take turn on first cut to service road otherwise you have to take a long route for U-turn to get back,HONDA Township,,,Negative,0.5113101318982131
Nice place,HONDA Township,,,,
Yar achi jaga hai. Acha kam krty hain pesy b manasib he lyty hain. Dnt knw why people say k bht costly hain etc. Pesy kam k account say hoty hain i think quality achi hoti hai,HONDA Township,,,Positive,0.5605095530746993
Zero %,HONDA Township,,,,
Gud staff..they know how to deal with a specific problem..im satisfied Alhamdulillah,HONDA Township,,,Negative,0.5088887958765483
Good,HONDA Township,,,,
Awsome,HONDA Township,,,,
Good staff,HONDA Township,,,,
Best grat relation  ship,HONDA Township,,,Positive,0.5605095530746993
Good,HONDA Township,,,,
Good place,HONDA Township,,,,
Better arrangements then some other Honda Dealers,HONDA Township,,,Negative,0.5109592678022723
Nice experience every time.staff work cleaning attitude every thing is good.,HONDA Township,,,Positive,0.5605095530746993
Very cooperative staff.,HONDA Township,,,Negative,0.5109592678022723
A good point for maintenance and sale purchase of Honda cars,HONDA Township,,,Positive,0.5605095530746993
Honda is my favourite vehicle. Not all models available,HONDA Township,,,Negative,0.5109592678022723
It was good experience and staff there was very cooperative and expert. Job was done quickly and efficiently .,HONDA Township,,,Positive,0.5605095530746993
services good,HONDA Township,,,Positive,0.5605095530746993
Ok,HONDA Township,,,,
Very good in customer services. Specially owner is excellent in customer relationship management.,HONDA Township,,,Positive,0.5895584692427674
it's good but quite expensive.,HONDA Township,,,Negative,0.5088887958765483
Best experience.,HONDA Township,,,Positive,0.5605095530746993
Very good and polite staff. There is a sales guy Mr. shahzad- if you want to book any car just go to him. He will guide you in the very best way. No cheating- that what i like in him.,HONDA Township,,,Positive,0.5895584692427674
best in town,HONDA Township,,,Positive,0.5605095530746993
One of the best Honda in town,HONDA Township,,,Positive,0.5605095530746993
Honda showroom township dealership. The best one in lahore.,HONDA Township,,,Positive,0.5605095530746993
Honda township,HONDA Township,,,Negative,0.5109592678022723
Good service,HONDA Township,,,Positive,0.5881235813232714
Bought brv from here.....staff is highly professional and very cooperative....allowed me to sit in accord ?·?? ??,HONDA Township,,,Positive,0.5605095530746993
It's OK.,HONDA Township,,,,
Well trained staff. Swift and helpfull,HONDA Township,,,Negative,0.5109592678022723
Very good customer service experience ?? ??,HONDA Township,,,Positive,0.558485538257406
"very good service
friendly to customer
less prices then other honda workshops in lahore",HONDA Township,,,Positive,0.610285073989355
Very professional staff and services,HONDA Township,,,Positive,0.5605095530746993
"Great coffee
Service was OK.....",HONDA Township,,,Positive,0.558485538257406
??? ??,HONDA Township,,,,
Good services,HONDA Township,,,Positive,0.5605095530746993
Its good,HONDA Township,,,,
Too long que for new city,HONDA Township,,,Negative,0.5109592678022723
Very busy. No one to talk to,HONDA Township,,,Negative,0.5109592678022723
"???????????·,https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png""",HONDA Township,,,Negative,0.5109592678022723
Good services,HONDA Township,,,Positive,0.5605095530746993
Done regular Car service. Good customer service. Satisfied,HONDA Township,,,Positive,0.5842531542201976
Very bad experience i visited Honda township because i am facing RPM fluctuation in my Honda civic 8th generation and even my car is maintained by Honda township..the staff didn't check the issue of rpm fluctuation i am facing..they just check other things like suspension and give me estimate of their labor for suspension.. At least try to check and resolve the issues faced by customer in their vehicle rather than checking other things..,HONDA Township,,,Negative,0.6066514453560247
Good people are there,HONDA Township,,,Positive,0.5605095530746993
Grate,HONDA Township,,,,
"I have the worst experience. After opening car, they said that they have no spare part. It will be delivered after two weeks howeve they need service charges.",HONDA Township,,,Negative,0.5773647462757812
First time there. Courteous Staff.,HONDA Township,,,Negative,0.5109592678022723
Supporting staff,HONDA Township,,,Negative,0.5109592678022723
Extremely expensive job rate at there. No doubt work is satisfactory but very expansive.,HONDA Township,,,Negative,0.5791296396742487
Good service,HONDA Township,,,Positive,0.5881235813232714
Good showroom,HONDA Township,,,Positive,0.5605095530746993
Main way area of pico road connects internal lahore with lakhpat. It has not so much local facilities.Properly short route towards Qasoor road and DHA residentials.,HONDA Township,,,Negative,0.5109592678022723
"The staff here is amazing, better than most however the reason i am giving it one star is because of how their management treats the staff.

Their staff is the reason their customer gets satisfied but in this scorching heat and pandemic around us. They were being served water in a desi cooler with ice bricks bought from the outside with one disposable glass placed to be shared by the whole staff.

The other water dispenser can be clearly seen inside the waiting room for the customers. How hard it is for them to install one for their own employees? It put me off that they are saving the cost on the wrong side.",HONDA Township,,,Positive,0.5895584692427674
COO Mr.Adnan and team is just mervellous .coordinater Sajjad is very active keep it up,HONDA Township,,,Negative,0.5109592678022723
Very good service ?? ??,HONDA Township,,,Positive,0.5881235813232714
Well maintained showroom,HONDA Township,,,Negative,0.5109592678022723
Very cooperative machanics with hight level of experience. Smooth working and pationate skills.,HONDA Township,,,Negative,0.5109592678022723
They follow SOPs issued by Honda. Up to the mark. They also offer mini offers for maintenance. Recommended,HONDA Township,,,Negative,0.5109592678022723
Variety of Honda  cars available,HONDA Township,,,Negative,0.5109592678022723
Hate this location that is carapt mafia,HONDA Township,,,Negative,0.5791296396742487
Guddddd,HONDA Township,,,,
Very positive experience. Highly Recommended for Honda users rather wastimg time and money diagnoses. Just pop in and this will be really a Quick Fit.,HONDA Township,,,Negative,0.5109592678022723
"Overall experience was great.....Better than visit to Honda Gateway......for periodic maintenance of car...
Slightly improvement is required in customer care.....and cashier towards the customers....",HONDA Township,,,Positive,0.5605095530746993
Nice workshop,HONDA Township,,,Negative,0.5109592678022723
Good facility. Avoid Lunch time from 1:30 to 2:30 for slow service.,HONDA Township,,,Negative,0.548550633432165
"Poor diagnostic service.
Unprofessional approach
Normal repair takes several visits .
Change other parts instead of faulty ..might to make money ....if C is faulty....they change A then B and then C ...
Although tea and coffee is self service and unlimited",HONDA Township,,,Negative,0.5726858944848424
"Good 3 S.
Have good repair & maintenance setup",HONDA Township,,,Positive,0.5605095530746993
Staff is very cooperative and expert.,HONDA Township,,,Negative,0.5109592678022723
You can booked your favourite Honda Cars at this place.,HONDA Township,,,Negative,0.5109592678022723
Great workers and staff,HONDA Township,,,Positive,0.5605095530746993
Nice showroom with decent and professional staff,HONDA Township,,,Positive,0.5605095530746993
"Helpful staff. The place is quiet spacious for the type of work done here. Waiting area available. 4 stars because they charge too much, however it has nothing to do with the place, infact its the company's policy.",HONDA Township,,,Positive,0.5605095530746993
Nice one,HONDA Township,,,,
Awesome,HONDA Township,,,,
Very professional and courteous staff who ensure customer satisfaction and get the work done in committed time. One feels very comfortable interacting with them.,HONDA Township,,,Positive,0.5605095530746993
They are not following SOPs they don't wear quality masks and using quality sanitisers ....they are not following it at all,HONDA Township,,,Positive,0.5605095530746993
"Well I had a short trip to Pakistan Lahore and decided to purchase car. Eventhough buying car is a lengthy complicated and time consuming process but with the support of Honda Township especially  Mr Shahzad, it was very fast hassle  free and we got the car within three days. He helped us for insurance  registration and tracker also. I am  fully impressed with the level  of service and strongly  recommend to car buyers for this particular car dealer.",HONDA Township,,,Positive,0.5881235813232714
Professional and coprative staff really I enjoy the visit,HONDA Township,,,Positive,0.5605095530746993
One of the best Honda's 3S dealership,HONDA Township,,,Positive,0.5605095530746993
"Staff is good, standard service as prevailing on other Honda Centers.",HONDA Township,,,Positive,0.558485538257406
"Very cooperative staff ,in and out in a quicky",HONDA Township,,,Negative,0.5109592678022723
"Competent and friendly staff. Honda Township is offering gold membership with lot of free and discounted services  only in Rs. 2,000.00 for an year.",HONDA Township,,,Positive,0.5605095530746993
Best Services,HONDA Township,,,Positive,0.5605095530746993
Cooperative staff,HONDA Township,,,Negative,0.5109592678022723
Neat n Clean,HONDA Township,,,Negative,0.5109592678022723
Good service but in old way.,HONDA Township,,,Positive,0.5881235813232714
"The  company dont provide mask  to visitors .. even with so much big setup.. thy are chwal .. dont let enter people
Poor facilites.. Aik airbag tu 26lac ki car mei de nai sakay.. ye mask dein gey",HONDA Township,,,Negative,0.5791296396742487
The service is good but now they are charging 2.1 percent on credit card payment which in my opinion is not fair. A company like Honda discouraging cashless transactions.,HONDA Township,,,Positive,0.558485538257406
Very nice and experienced staff,HONDA Township,,,Negative,0.5109592678022723
Awesome Environment,HONDA Township,,,Positive,0.5605095530746993
?·?·?· ??,HONDA Township,,,,
Best honda town ship in lahore good staf good work team..,HONDA Township,,,Positive,0.5845078837790162
Well trained Staff and neat and clean area,HONDA Township,,,Negative,0.5109592678022723
Good after sales services. Neat and clean place,HONDA Township,,,Positive,0.5605095530746993
Service is their moto.,HONDA Township,,,Negative,0.5113101318982131
"Best workshop for Honda cars, best services, rates and technical staff",HONDA Township,,,Positive,0.5605095530746993
"Good services as compared to other Honda Centres in lahore
But Denting is not their speciality",HONDA Township,,,Positive,0.5605095530746993
Good place,HONDA Township,,,,
Quality service,HONDA Township,,,Positive,0.5881235813232714
"Good well maintained service area ,management and SOPs",HONDA Township,,,Positive,0.558485538257406
"Good & cooperative Staff,",HONDA Township,,,Positive,0.5605095530746993
Loved it,HONDA Township,,,,
Good customer services but delivery time is 3-4 months,HONDA Township,,,Positive,0.5605095530746993
Excellent customer service,HONDA Township,,,Positive,0.558485538257406
Very helpful people! Always a delight,HONDA Township,,,Positive,0.5605095530746993
Fantastic,HONDA Township,,,,
Very expensive and average,HONDA Township,,,Negative,0.5791296396742487
Diamond Paints Pakistan no 1 paints,HONDA Township,,,Negative,0.5109592678022723
Cooperative people,HONDA Township,,,Negative,0.5109592678022723
"Very professional staff, good services!",HONDA Township,,,Positive,0.5895584692427674
Very cooperative staff,HONDA Township,,,Negative,0.5109592678022723
Honda is one of the best brand in pakistan,HONDA Township,,,Positive,0.5605095530746993
"Very professional staff
Cooperate behavior
Neat and clean
Overall its excellent ???? ??",HONDA Township,,,Positive,0.5895584692427674
Very co operative staff.,HONDA Township,,,Negative,0.5109592678022723
Too expensive but best in work,HONDA Township,,,Negative,0.5088887958765483
Neat n clean environment but staff is not helpful and friendly,HONDA Township,,,Positive,0.5895584692427674
Good service,HONDA Township,,,Positive,0.5881235813232714
"Good experience overall except handing over of vehicle.
Not professional approach of that department.",HONDA Township,,,Positive,0.5895584692427674
Good place for Honda services,HONDA Township,,,Positive,0.5605095530746993
Good service,HONDA Township,,,Positive,0.5881235813232714
Best map,HONDA Township,,,,
Satisified with the work,HONDA Township,,,Negative,0.5109592678022723
They are providing best services,HONDA Township,,,Positive,0.5605095530746993
Take many days for repairing. Very slow car becomes unavailable for many days for small tasks.,HONDA Township,,,Negative,0.5791296396742487
Best auto workshop in Lahore staff is very professional,HONDA Township,,,Positive,0.5895584692427674
Best service provider in the area,HONDA Township,,,Positive,0.5881235813232714
Give,HONDA Township,,,,
very expensive.  i have changed my Honda BRV rare fender light 3 days ago. in the market brand new light price was 23500  but they charged  35500,HONDA Township,,,Negative,0.5791296396742487
Good dealers,HONDA Township,,,Positive,0.5605095530746993
Good service,HONDA Township,,,Positive,0.5881235813232714
Good mechanics diagnostic was quick but charges extra 2% on card for no reason,HONDA Township,,,Positive,0.5605095530746993
"Impressive service, they didn't wasted time like many other workshops. The service area was clean and well kept. Overall a nice experience",HONDA Township,,,Negative,0.5113101318982131
Staff is very good dealing.,HONDA Township,,,Positive,0.5605095530746993
Wonderful,HONDA Township,,,,
"In our case they made blunder in documents which caused delay in release of vehicle by 7 hours and caused us to make unnecessary 3 trips wasting lot of time .
The accessories shop gave timeline of 1 or 1.5 hour work and took 2.5 hours .",HONDA Township,,,Negative,0.5109592678022723
Good,HONDA Township,,,,
"They charge high price.
Provided old tag low price air filter and charge high price by saying price increase ho gaya hy.",HONDA Township,,,Negative,0.5109592678022723
Best exp ...best team. Mr. Fareed is most competent and corporative team leader,HONDA Township,,,Positive,0.5605095530746993
Went to get denting of my brv under insurance. Seems professional people.,HONDA Township,,,Positive,0.5605095530746993
Good,HONDA Township,,,,
It's a Honda cars showroom.  New cars. Car workshop.  Honda cars spare part.,HONDA Township,,,Negative,0.5109592678022723
Nice atmosphere & good service,HONDA Township,,,Positive,0.5881235813232714
Nice place,HONDA Township,,,,
Very clean.  Professional and timely service.,HONDA Township,,,Positive,0.558485538257406
Honda township was previously suzuki township motors.Organized sale point and service and repair area is also good. Service Staff is good and expert. Overall its a good place to buy and service your honda cars.,HONDA Township,,,Positive,0.5768742123603593
Honda cars 3s dealership,HONDA Township,,,Negative,0.5109592678022723
"We (myself and mother) purchased Honda BRV-S from honda township in Sep-2020. Staff is very professional and polite. Hassle-free and smooth experience.

I would recommend Ms. Farah in sales to Honda Township management for bonus for her excellent services and treating customer is best possible way (including after sales). Giving 5/5 star rating because her positive and welcoming attitude towards my mother and myself (whenever we visited the showroom)

We were returned around 6700/- which over paid during vehicle purchase even we were not aware of it (not very common practice in Pakistan, honest Staff)

Thanks!",HONDA Township,,,Positive,0.6295541766374877
Very over priced! Honda being honda! Zero customer value!,HONDA Township,,,Negative,0.5109592678022723
Still airbags are missing in city??? ??,HONDA Township,,,Negative,0.5109592678022723
Only the Staff is very Good guider nd cooperative,HONDA Township,,,Positive,0.5605095530746993
It is so far the best Honda dealership. The staff is very cooperative along with the workers. They calmly listen to what you are saying and also ex0lain everything in detail. They do not do 'JUGARS' and work each and everything step by step. They have the proper tools for everything. Really satisfied.,HONDA Township,,,Positive,0.5895584692427674
"Awesome ??··,https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png""",HONDA Township,,,Positive,0.5605095530746993
Good work and staff is very good and cooperative,HONDA Township,,,Positive,0.5605095530746993
Really very nice experience .. in love with their good management ever since they were suzuki township i have been their loyal and satisfied customer.  Deserve 5 star,HONDA Township,,,Positive,0.6114433542122345
Sales Department Not Good,HONDA Township,,,Positive,0.5605095530746993
We have visited last week and none of the saleman came to us to explain or guide us about the feature and specs of the vehicles....,HONDA Township,,,Negative,0.5109592678022723
Quick service. Very careful about customer services,HONDA Township,,,Negative,0.5113101318982131
Workshop,HONDA Township,,,,
The charge extra fee on credit cards,HONDA Township,,,Negative,0.5109592678022723
Been to the place twice now. Very well experienced staff with good standard maintenance practises. Keep it up.,HONDA Township,,,Positive,0.5605095530746993
"Courteous staff, prompt service and conveniently located.",HONDA Township,,,Negative,0.5113101318982131
I was went to replace my Honda City side mirrors. After all process they have checked that only one mirror is available in their store. They told me it will take more than a week to order other mirror.  This is very unreasonable thing for a main stream Honda workshop.,HONDA Township,,,Negative,0.5109592678022723
OK staff. Not too welcoming unlike other honda centres,HONDA Township,,,Negative,0.5109592678022723
"Timely response,  excellent service.",HONDA Township,,,Positive,0.5881235813232714
Its Was By Mistake . Best Services Of Honda Townahip,HONDA Township,,,Positive,0.5605095530746993
Good,HONDA Township,,,,
Better experience than city sales and honda point.,HONDA Township,,,Negative,0.5109592678022723
"Typical 3s shop of cars. Nothing special to mention

Its been 6 months since i purchased RS Turbo and till date extended warranty of 75000km or 3 years not arranged. This is bringing bad name for Honda and the 3S outlet. I insisted at the time of delivery but was told that we will inform you soon but unfortunately no update till date. I request once again to the dealer and the manufacturer to do the needful without further delay. Thank you",HONDA Township,,,Negative,0.5791296396742487
Good,HONDA Township,,,,
Hello honda service is so ??Good and fast and neat work love,HONDA Township,,,Positive,0.610285073989355
Good work,HONDA Township,,,,
"They have done miscommittment with their loya customers who had bought the vouchers in loyality program.
Do not invest in any kind of loyality program or promotion offered by Honda Township.
Most of thr loyal customers are facing this issue and no one is there to hear the voice of customers. The staff was also rude.
Lastly, pls beware
1 - while alignment , the mechanic will try level best to  sell you thay ur chambers need repairing @ approx rs. 3500, however when u resist he will deal with you in just Rs. 500/- which u will give him while test drive.
2- same scenario is with engine service, the person will tell you that u needs throttle service that cost around rs.2500/- but when u resist he will do the same as mentioned in point #1.",HONDA Township,,,Negative,0.5475882684252755
Quite big showroom but I went there to pick up parcel not for dealing that's why can't say anything about their commercial level of dealing and vehicles quality...,HONDA Township,,,Positive,0.5605095530746993
They are not delivered vehicles in time.poor management.even honda gave no rights to there client for complaints. No one own responsibility of clients satisfaction,HONDA Township,,,Negative,0.5791296396742487
Good working environment.Proper arrangements for precautions relating to Corona.,HONDA Township,,,Positive,0.5605095530746993
