wiI7pd,dealership,Unnamed: 1,Unnamed: 2,predicted_sentiment,confidence
Good service provider,HONDA Fort,,,Positive,0.5881235813232714
Nice place.,HONDA Fort,,,Negative,0.5109592678022723
Yes ð??¯ â?¦,HONDA Fort,,,Negative,0.5109592678022723
Need too much improvements,HONDA Fort,,,Negative,0.5109592678022723
good,HONDA Fort,,,,
Only dealer ship thatâ??s why itâ??s need to be visited otherwise no good display no good salesman ship,HONDA Fort,,,Positive,0.5605095530746993
Good workshop and show room,HONDA Fort,,,Positive,0.5605095530746993
"It was good,it is rating 4 .5",HONDA Fort,,,Positive,0.5605095530746993
Good and cooprative staff,HONDA Fort,,,Positive,0.5605095530746993
They are expensive in comparison with product,HONDA Fort,,,Negative,0.5791296396742487
Good,HONDA Fort,,,,
Very good workshop for Honda cars repair and maintenance. Recommended,HONDA Fort,,,Positive,0.5605095530746993
Good customer service,HONDA Fort,,,Positive,0.558485538257406
good service Û?,HONDA Fort,,,Positive,0.5881235813232714
Staf and atmosphere is not good.,HONDA Fort,,,Positive,0.5605095530746993
Good place and honda civic rs is nice car,HONDA Fort,,,Positive,0.5605095530746993
Nice,HONDA Fort,,,,
Gadi leni hai honda tay Honda Fort tashreef layao. Staff is very cooperative and you can get any sort of Honda car/SUV from there.,HONDA Fort,,,Negative,0.5109592678022723
"Very disappointed, you should train your staff for how to deal with customers.

-No professionalism.
-Rude behaviour & zero customer support.",HONDA Fort,,,Negative,0.6066514453560247
"Very good custommer services , obviously expensise as compared to market but it yr choice , one thing to be mentioned for little works like oil change ,allignment etc u can come upto 4-30 or 5 pm but for time consuming work as they have
plenty of work load so book yr job apointment before or reach 10 am sharp",HONDA Fort,,,Positive,0.5605095530746993
Location is good but place is conjusted bit slightly manages,HONDA Fort,,,Positive,0.5605095530746993
Average,HONDA Fort,,,,
prices of car parts and services is very highÛ?,HONDA Fort,,,Negative,0.5109592678022723
"Very stupid team.at the time of booking they are professional but at delivery time they are too rude. Don't have time to manage query as well as don't know how to deal with customers.
Really bad experience with honda fort lahore.",HONDA Fort,,,Negative,0.5488578389009036
One of the best Honda Service Center,HONDA Fort,,,Positive,0.558485538257406
"Bas experience, the staff working there are like they are owners. No customer value .",HONDA Fort,,,Negative,0.5109592678022723
Very disciplined staff. Mohsin sb and Arsalan handled my compliant very professionally and resolved it upto mu entire satisfaction .,HONDA Fort,,,Negative,0.5109592678022723
Reasonable service so far,HONDA Fort,,,Negative,0.5113101318982131
It went nice,HONDA Fort,,,Negative,0.5109592678022723
Good Service provider,HONDA Fort,,,Positive,0.5881235813232714
Over charged workshop,HONDA Fort,,,Negative,0.5109592678022723
Nice place,HONDA Fort,,,,
"Place is easily accessible, very professional and active staff.",HONDA Fort,,,Positive,0.5605095530746993
Great,HONDA Fort,,,,
The employees are very honest and hard work,HONDA Fort,,,Negative,0.5109592678022723
Available all brands,HONDA Fort,,,Negative,0.5109592678022723
"I know this place since 2006, staff is cooperative, and they know their work., quite professional approach.",HONDA Fort,,,Positive,0.5605095530746993
Awesome Place,HONDA Fort,,,Positive,0.5605095530746993
"Visited few months back, the sales department is awesome and cooperative.",HONDA Fort,,,Positive,0.5605095530746993
"Good experience with quick response.
Mr.Zubair at front desk was very cooperative and address complain with satisfaction. Looking forward claim solution at earliest.",HONDA Fort,,,Positive,0.5605095530746993
One of the best after sales services from Honda. There's a mechanic named Suleman Sindhu he's truly a Gem. He'll give you the perfect advice.,HONDA Fort,,,Positive,0.5895584692427674
Ok,HONDA Fort,,,,
Beat of the best,HONDA Fort,,,Positive,0.5605095530746993
Excellent service & prompt response.Thanks Honda,HONDA Fort,,,Positive,0.5881235813232714
looks good,HONDA Fort,,,,
Very professional,HONDA Fort,,,Positive,0.5605095530746993
Hardworking team.,HONDA Fort,,,Negative,0.5109592678022723
A place of very trained workers for repair work,HONDA Fort,,,Negative,0.5109592678022723
They dont deal japanese Honda cars,HONDA Fort,,,Negative,0.5109592678022723
Visit Honda fort good experiance Representative was good person He is loyal to his job  and company good conducted fulfil strugged   We satisfied,HONDA Fort,,,Positive,0.5791486483194986
Unprofessional attitude of staff,HONDA Fort,,,Negative,0.5109592678022723
Best,HONDA Fort,,,,
Great,HONDA Fort,,,,
Good,HONDA Fort,,,,
Waiting area is for drivers and not for owners,HONDA Fort,,,Negative,0.5109592678022723
Not good experience,HONDA Fort,,,Positive,0.5605095530746993
Visit for Car,HONDA Fort,,,Negative,0.5109592678022723
Very busy point,HONDA Fort,,,Negative,0.5109592678022723
Honda hi lesaan,HONDA Fort,,,Negative,0.5109592678022723
PARKING ISSUE STAFF IS VERY BUSY WAITING TIME IS MORE,HONDA Fort,,,Negative,0.5791296396742487
Low customer services,HONDA Fort,,,Negative,0.5109592678022723
Very expensive beware when you visit,HONDA Fort,,,Negative,0.5791296396742487
Good,HONDA Fort,,,,
Worst service,HONDA Fort,,,Negative,0.6054037653776139
One of the Best  Honda Cars  3s dealer....,HONDA Fort,,,Positive,0.5605095530746993
Official Show Room from the Leading Car Manufacturers Company in Pakistan for Visitors to buy Company's Vehicle Products in Lahore,HONDA Fort,,,Negative,0.5109592678022723
Parking problem ð??? poor services ð??? â?¦,HONDA Fort,,,Negative,0.6066514453560247
Visited for my routine check up.,HONDA Fort,,,Negative,0.5109592678022723
Satisfied,HONDA Fort,,,,
Good service ð?? â?¦,HONDA Fort,,,Positive,0.5881235813232714
Good,HONDA Fort,,,,
Good service,HONDA Fort,,,Positive,0.5881235813232714
Aese aese scientist hain k muj jaisa insaan srf hans kr wapis ajata,HONDA Fort,,,Negative,0.5109592678022723
Bad experience of car maintenance. Not Good service,HONDA Fort,,,Positive,0.5316693354498528
Services are just ok,HONDA Fort,,,Negative,0.5109592678022723
Still I can't say something because my car is in process!,HONDA Fort,,,Negative,0.5109592678022723
Professional and great,HONDA Fort,,,Positive,0.5895584692427674
Loved thrre service price tooooo high,HONDA Fort,,,Negative,0.5113101318982131
"Pathetic service, charge overpriced and check nothing, doesn't even follow honda guidelines for checkup",HONDA Fort,,,Negative,0.6054037653776139
Good one,HONDA Fort,,,,
"Very bad experience at this showroom. I went for civic turbo rs and they did not cooperate in good ways and the behaviour of staff was the worst.
Overall bad experience at this showroom.",HONDA Fort,,,Negative,0.5655920611481626
They take a lil more time but satisfied by their performance,HONDA Fort,,,Positive,0.5605095530746993
Best 3s services   awesome,HONDA Fort,,,Positive,0.5895584692427674
Seems good dealer to book honda cars,HONDA Fort,,,Positive,0.5605095530746993
Services are decline compare to yesteryears I visited there after a long long time,HONDA Fort,,,Negative,0.5109592678022723
Good,HONDA Fort,,,,
Professional Staff. Great experience,HONDA Fort,,,Positive,0.5895584692427674
Most pathetic people ever,HONDA Fort,,,Negative,0.5791296396742487
Good Repairing Services rate are high as compare to local workshop good and cooperative skilled technician,HONDA Fort,,,Positive,0.5605095530746993
Excellent staff feedback,HONDA Fort,,,Positive,0.5605095530746993
Time zaya krna hoto yahan gari ly jayn . Aur agr 5  6 hours wait krna ho to apni pani ki bottle aur chai sath lay jayn . Otherwise in sy kuch nahen Mily Ga.,HONDA Fort,,,Negative,0.5109592678022723
"When you visited such places where public dealing involved you remember them long either in a bad or good ways, mine was a complete satisfied visit. The sales person was so cooperative and have enough knowledge about the product we enquire. The ambience was good.",HONDA Fort,,,Positive,0.5486789703155592
I love Honda fort,HONDA Fort,,,Positive,0.5605095530746993
Excellent workshop facility,HONDA Fort,,,Positive,0.5605095530746993
Nice and cooperative staff.,HONDA Fort,,,Negative,0.5109592678022723
"Overall good experience, timely completion of work",HONDA Fort,,,Positive,0.5605095530746993
Best for honda fort......,HONDA Fort,,,Positive,0.5605095530746993
very impressive,HONDA Fort,,,Negative,0.5109592678022723
All range of Honda vehicles available here,HONDA Fort,,,Negative,0.5109592678022723
Nice atmosohere. Caring staff.,HONDA Fort,,,Negative,0.5109592678022723
Good competent staff amd genuine parts.,HONDA Fort,,,Positive,0.5605095530746993
bht bakwas after sale service hai .,HONDA Fort,,,Negative,0.5113101318982131
Poor sales and services.,HONDA Fort,,,Negative,0.5791296396742487
Just got the car ... but there no gift 4 me ... ð?¤?ð??? â?¦,HONDA Fort,,,Negative,0.5109592678022723
They are professional,HONDA Fort,,,Positive,0.5605095530746993
"Sales
Service
Parts â?¦",HONDA Fort,,,Negative,0.5113101318982131
"Neat Environment...Good Staff
Hamza Afzal is very Cooperative..",HONDA Fort,,,Positive,0.5605095530746993
Good service and vigilant staff,HONDA Fort,,,Positive,0.5881235813232714
"Famous Honda dealer in Lahore. Civic and City cars are available in stocks. Friendly staff, quick delivery. Situation in heart of the city.",HONDA Fort,,,Positive,0.5605095530746993
Nice gesture.. quality of service good. Also they provide genuine parts without any doubt..,HONDA Fort,,,Positive,0.610285073989355
Very Professional and experienced Staff,HONDA Fort,,,Positive,0.5605095530746993
People of dealership are very good,HONDA Fort,,,Positive,0.5605095530746993
Expensive labour rates,HONDA Fort,,,Negative,0.5791296396742487
Pathetic service,HONDA Fort,,,Negative,0.6054037653776139
They' are very professional,HONDA Fort,,,Positive,0.5605095530746993
nice,HONDA Fort,,,,
"Its very good.
Very supportive staff especially Nazakat sb.",HONDA Fort,,,Positive,0.5605095530746993
Honda food lahoor Pakistan haseeb khanhasseb806@mail.com 0HAsseb mahla usmana bad lahor cant hawos 116.gali.3 nazd jaglywli garond wetamain rood the best,HONDA Fort,,,Negative,0.5088887958765483
Nice experience,HONDA Fort,,,Negative,0.5109592678022723
Excellent service,HONDA Fort,,,Positive,0.5881235813232714
Good,HONDA Fort,,,,
Excellent ð??? â?¦,HONDA Fort,,,Positive,0.5605095530746993
"I dont know if its only with me or with others as well. Whenever i go there, i found the staff tired n lazy with casual attitude.. may be because in second half of the day they are already exhausted",HONDA Fort,,,Negative,0.5109592678022723
Good service ð?? â?¦,HONDA Fort,,,Positive,0.5881235813232714
Professional dealer,HONDA Fort,,,Positive,0.5605095530746993
Great to buy a new car,HONDA Fort,,,Positive,0.5605095530746993
Very Bad service,HONDA Fort,,,Negative,0.6054037653776139
Better,HONDA Fort,,,,
Expensive but diagnose well,HONDA Fort,,,Negative,0.5791296396742487
Professional services,HONDA Fort,,,Positive,0.5605095530746993
Excelent team work,HONDA Fort,,,Negative,0.5109592678022723
Good and best services,HONDA Fort,,,Positive,0.5895584692427674
Good dealership,HONDA Fort,,,Positive,0.5605095530746993
Its a good Honda 3s dealer shop,HONDA Fort,,,Positive,0.5605095530746993
"Very satisfied.
Nice cooperative staff.
Good service",HONDA Fort,,,Positive,0.610285073989355
Worst place for japanease honda cars...they dont offer any service for honda japanease cars especially for electronic checkups or repairs,HONDA Fort,,,Negative,0.5773647462757812
No AC. Showroom lighiting feels like you are in local showroom with 1 star rating and the floors are dirty..,HONDA Fort,,,Negative,0.5109592678022723
Honda civic turbo,HONDA Fort,,,Negative,0.5109592678022723
Excellent service and very cooperative.,HONDA Fort,,,Positive,0.5881235813232714
Good service area for car maintenance  but one must have a basic mechanical knowledge of car to deal with the professionals.,HONDA Fort,,,Positive,0.5881235813232714
I love this car,HONDA Fort,,,Positive,0.5605095530746993
"They are highly professional and helpful, they took a little bit long time , rest results are awesome",HONDA Fort,,,Positive,0.6114433542122345
9200 labor charges without GST.... Too much expensive,HONDA Fort,,,Negative,0.5791296396742487
Bit expensive but better than other Honda 3S.,HONDA Fort,,,Negative,0.5791296396742487
Fast working,HONDA Fort,,,Positive,0.5605095530746993
Poor,HONDA Fort,,,,
Very good place to bring your lovely car here. They really Check your vehicle with good care under supervisor supervision.,HONDA Fort,,,Positive,0.5605095530746993
Professional staff,HONDA Fort,,,Positive,0.5605095530746993
Good services,HONDA Fort,,,Positive,0.5605095530746993
Poor Customer Care and no SOPs,HONDA Fort,,,Negative,0.5791296396742487
Good,HONDA Fort,,,,
They have changed my opnion of poor customer service to good one. Much better than honda city sales. Cooperative staff.,HONDA Fort,,,Negative,0.5089763875056554
Authorized dealer of Honda good staff and before sale service feels to be good,HONDA Fort,,,Positive,0.5599673606495894
"Honda fort deals with the issues and problems of their customers. Moreover, they also deal with different levels according to the car. There is also car wash service and car mechanic services.",HONDA Fort,,,Negative,0.5113101318982131
Great quality of work,HONDA Fort,,,Positive,0.5895584692427674
Experience is ok but no one even bothers to ask for a glass of water to its customers especially those who visit for the car repairs.,HONDA Fort,,,Negative,0.5109592678022723
Always good experience,HONDA Fort,,,Positive,0.5605095530746993
Good at services,HONDA Fort,,,Positive,0.5605095530746993
Its top rated Honda service provider.,HONDA Fort,,,Negative,0.5113101318982131
Best Dealership,HONDA Fort,,,Positive,0.5605095530746993
Very Good and Co operative behaviour by all staff. My residence is near Kalma Chowk but I always prefer to visit Honda Fort instead of City Sales .Agha Abdaal,HONDA Fort,,,Positive,0.5605095530746993
Because i never review this place,HONDA Fort,,,Negative,0.5109592678022723
Good service and detail checkup,HONDA Fort,,,Positive,0.5881235813232714
Slow service...,HONDA Fort,,,Negative,0.6054037653776139
"Ø²Ù?Ø§Ù?Û Ù?ÙØ§Ø¯Ø§Ø± Ù?ÛÛ?Úº  ØªÙ? Ú©Û?Ø§ÛÙ?Ø§ Ø§Û?Û?Ø¯Ù?ð???ð???

Ø¯Ú¾Ù?Ú©Û?Ø¨Ø§Ø² Ø¨Ú¾Û? ØªÙ?Ø§Ú©Ø«Ø± Û?Ø§Ø± ÛÛ? ÛÙ?Ø§ Ú©Ø±ØªÛ?ÛÛ?Úºð???ð??? â?¦",HONDA Fort,,,Negative,0.5109592678022723
Good service,HONDA Fort,,,Positive,0.5881235813232714
Good service,HONDA Fort,,,Positive,0.5881235813232714
Very costly place for car work,HONDA Fort,,,Negative,0.5109592678022723
Great service friendly people  committed and honest,HONDA Fort,,,Positive,0.610285073989355
"Pathetic and trully non professional staff, no concerns with customers issues.
Never recommend.",HONDA Fort,,,Positive,0.5321214989757779
"Totally disappointed service and no courteousy in customer handling. Charges are high and quality of work is not satisfactory. In this time of crisis, there should be someone on the phone to guide the customers who are stuck or their automobiles are locked due to lockdown. Unfortunately no attendance at all",HONDA Fort,,,Negative,0.548550633432165
Honda lovers,HONDA Fort,,,Negative,0.5109592678022723
"Staff coordination is good, first time buying Honda lets see",HONDA Fort,,,Positive,0.5605095530746993
Excellent personalized service ð?? â?¦,HONDA Fort,,,Positive,0.558485538257406
"Very old dealership with proffectional staff , specially the denting & paint shope is well equipped.",HONDA Fort,,,Negative,0.5109592678022723
Bad services,HONDA Fort,,,Negative,0.5791296396742487
Efficient staff but parts are very expensive..,HONDA Fort,,,Negative,0.5088887958765483
Best dealer indeed,HONDA Fort,,,Positive,0.5605095530746993
1st free check up went fine,HONDA Fort,,,Negative,0.5109592678022723
Excellent place for service,HONDA Fort,,,Positive,0.558485538257406
Good service and staff was very helpful,HONDA Fort,,,Positive,0.610285073989355
Very good performance,HONDA Fort,,,Positive,0.5605095530746993
Good,HONDA Fort,,,,
Super,HONDA Fort,,,,
Good,HONDA Fort,,,,
Love it,HONDA Fort,,,,
The best Car Company Honda in Pakistan,HONDA Fort,,,Positive,0.5605095530746993
Behavior friendly,HONDA Fort,,,Positive,0.5605095530746993
Excellent Service from Honda Fort. Best dealership in Pakistan,HONDA Fort,,,Positive,0.610285073989355
Slow service,HONDA Fort,,,Negative,0.6054037653776139
"A mecinized workshop, love for all there serving pakistan",HONDA Fort,,,Positive,0.5605095530746993
Honda cars showroom,HONDA Fort,,,Negative,0.5109592678022723
Zayada wait nai krna para tha  ð?¤­ð?¤­ â?¦,HONDA Fort,,,Negative,0.5109592678022723
To much labour charges,HONDA Fort,,,Negative,0.5109592678022723
"Very good service, strongly recommended",HONDA Fort,,,Positive,0.5881235813232714
Honda workshop well maintained,HONDA Fort,,,Negative,0.5109592678022723
Best to see them giving a new car to Abid Ali,HONDA Fort,,,Positive,0.5605095530746993
Best Retailer,HONDA Fort,,,Positive,0.5605095530746993
Best dealing,HONDA Fort,,,Positive,0.5605095530746993
Nice place,HONDA Fort,,,,
Non profashnal people,HONDA Fort,,,Negative,0.5109592678022723
Work is good. But very expensive,HONDA Fort,,,Negative,0.5088887958765483
Good services,HONDA Fort,,,Positive,0.5605095530746993
Great service,HONDA Fort,,,Positive,0.5881235813232714
Good but expensive,HONDA Fort,,,Negative,0.5088887958765483
Lovely place,HONDA Fort,,,Negative,0.5109592678022723
"Excellent staff, excellent speed..",HONDA Fort,,,Positive,0.5605095530746993
Professional's,HONDA Fort,,,Positive,0.5605095530746993
Best workshop with cooperative staff to repair your car or book your Honda car,HONDA Fort,,,Positive,0.5605095530746993
Very neat and clean and smooth able place.,HONDA Fort,,,Negative,0.5109592678022723
I dont like Honda fort high mantinis,HONDA Fort,,,Negative,0.5109592678022723
Great experience,HONDA Fort,,,Positive,0.5605095530746993
Please check your vechile frequently during the maintenance.,HONDA Fort,,,Negative,0.5109592678022723
Great,HONDA Fort,,,,
"Awesome experience
Staff was extremely cooperative
Technicians were skilled and knew their job. â?¦",HONDA Fort,,,Positive,0.5605095530746993
All work easily by show room,HONDA Fort,,,Negative,0.5109592678022723
Expen3,HONDA Fort,,,,
Excillent,HONDA Fort,,,,
nice place for honda dealing,HONDA Fort,,,Negative,0.5109592678022723
Excellent service,HONDA Fort,,,Positive,0.5881235813232714
too slow service,HONDA Fort,,,Negative,0.6054037653776139
Unprofessional staff,HONDA Fort,,,Negative,0.5109592678022723
The best honda showroom in Lahore in my opinion. Staff is professional,HONDA Fort,,,Positive,0.5895584692427674
Good,HONDA Fort,,,,
Nice one,HONDA Fort,,,,
Excellent service.,HONDA Fort,,,Positive,0.5881235813232714
"One of the best showroom for Honda Sales and services, bought my first brand new Honda City from them and sales person explained and walk me through the inspection.

I do get the regular car maintenance from here service staff is very friendly and give an honest opinion on car maintenance and part replacement.

Only draw back with this place is that it lies in a rushy area so you have to went early in morning to book an appointment and get cleared as soon as possible.",HONDA Fort,,,Positive,0.5881235813232714
